ID;AGE;SEX;PROCEDURE-BEGIN-TIMESTAMP;PROCEDURE-END-TIMESTAMP;BIOSIGS-BEGIN-TIMESTAMP;BIOSIGS-END-TIMESTAMP;OPENNESS;CONSCIENTIOUSNESS;EXTRAVERSION;AGREEABLENESS;NEUROTICISM;NEO-FFI;BIOSIGS;PROCEDURE;SPACE;FREUD;PHOTOS
2764;22;M;1558002900.0;1558007122.433215;nan;nan;5;6;3;9;10;Y;nan;Y;Y;Y;Y
2846;22;F;1557997320.0;1558001580.730862;1557997310.473;1558001620.122;6;2;6;8;7;Y;Y;Y;Y;Y;Y
2881;21;M;1554729120.0;1554733547.4393911;1554729117.626;1554733581.325;4;6;5;6;10;Y;Y;Y;Y;Y;Y
2900;22;M;1554721320.0;1554725559.842567;1554721381.375;1554725592.774;3;4;2;6;10;Y;Y;Y;Y;Y;Y
2955;25;F;1557909420.0;1557913631.8615527;1557909411.566;1557913662.265;3;7;3;8;4;Y;Y;Y;Y;Y;Y
2986;21;M;1557928680.0;1557932864.006295;1557928669.84;1557932900.289;5;9;4;7;4;Y;Y;Y;Y;Y;Y
2992;22;M;1558089720.0;1558094073.3929641;1558089637.37;1558094111.719;6;6;4;6;7;Y;Y;Y;Y;Y;Y
3007;nan;nan;nan;nan;1554202345.344;1554206701.643;nan;nan;nan;nan;nan;nan;Y;nan;nan;nan;nan
3054;nan;M;1555660920.0;1555665132.938688;1555660926.832;1555665145.131;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
3172;25;M;1554886620.0;1554890838.581321;1554886629.937;1554890864.136;6;5;5;8;8;Y;Y;Y;Y;Y;Y
3242;22;M;1554364680.0;1554368841.920418;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
3243;nan;nan;nan;nan;1554364664.822;1554368870.221;nan;nan;nan;nan;nan;nan;Y;nan;nan;nan;nan
3264;24;F;1554799380.0;1554803556.540215;1554799364.478;1554803590.877;5;9;7;10;6;Y;Y;Y;Y;Y;Y
3324;22;M;1554108000.0;1554112189.569185;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
